"phone.number","contract.start.date","plan.id","contract.end.date","nrs","dob"
"097 443 3349",2018-06-13,1,2018-07-01,"C2",1998-08-08
"01 120 3965",2014-10-01,2,,"D",1997-04-20
"01 089 3500",2018-07-30,1,,"C1",1961-07-22
"025 010 8992",2017-12-31,3,,"B",1976-02-15
"063 869 8442",2014-08-29,3,,"B",1978-01-01
"046 750 4201",2017-05-14,1,,"C1",1955-05-03
"067 764 0892",2012-06-17,2,,"C1",1951-07-09
"029 389 7334",2012-12-31,3,2018-07-01,"D",1968-07-20
"01 160 6604",2014-11-05,1,,"D",1998-04-22
"024 847 0877",2015-12-03,2,,"B",1977-03-24
"01 064 3196",2017-04-01,1,2018-07-01,"D",1976-06-09
"064 452 4440",2013-12-21,3,,"B",1955-12-30
"01 003 6870",2018-06-16,2,,"C2",1984-06-22
"026 152 0913",2015-10-18,1,,"C2",1984-09-12
"091 309 3357",2015-09-14,3,,"B",1955-09-14
"096 644 5730",2015-04-07,3,,"D",1999-01-21
"01 568 1692",2014-05-26,1,2018-07-01,"D",1987-04-03
"01 415 1518",2014-11-10,2,,"D",1985-04-06
"0404 714 3421",2015-03-24,2,,"B",1978-06-18
"026 908 2170",2018-02-25,3,,"B",1980-07-18
"068 712 4425",2012-11-25,1,,"D",1987-07-23
"01 271 5751",2017-04-25,3,,"D",1984-05-10
"01 032 5527",2015-12-11,1,,"C1",1989-06-07
"01 981 2231",2016-08-01,2,,"B",1977-06-01
"097 039 3599",2018-10-26,1,,"C2",1975-05-01
"01 500 5947",2013-07-16,3,2018-07-01,"B",1996-01-19
"0402 591 8033",2015-05-28,1,,"B",1972-08-03
"045 687 7015",2016-10-04,1,,"C1",1997-02-09
"097 500 0410",2016-11-25,2,,"C1",1988-02-15
"01 935 5933",2014-03-07,3,,"E",1974-03-03
"01 953 2465",2014-02-09,3,,"B",1989-05-05
"01 419 9630",2015-05-02,2,,"B",1953-03-28
"090 574 2201",2013-04-11,1,,"C2",1985-03-26
"059 173 4115",2013-07-07,2,,"D",1975-08-23
"01 692 2359",2016-03-31,2,,"C2",1959-05-03
"046 007 5845",2018-01-27,3,,"C1",1979-01-14
"01 380 3510",2017-01-28,1,,"C1",1951-03-11
"042 252 4413",2017-07-18,2,,"B",1963-04-17
"025 509 6960",2012-02-05,3,,"C1",1986-05-18
"01 358 9815",2016-03-20,1,,"D",1987-10-07
"098 194 5157",2017-12-21,2,,"C1",1972-05-03
"01 341 2665",2013-01-23,1,,"D",1994-11-22
"063 901 6971",2014-06-10,3,,"D",1987-01-20
"063 068 8187",2014-01-03,3,,"C1",1960-05-15
"01 267 4089",2015-01-18,1,,"B",1991-01-18
"01 273 3632",2016-10-16,1,,"B",1984-09-08
"097 672 7353",2012-03-02,1,,"B",1951-08-30
"01 850 1767",2017-05-31,3,,"C1",1995-10-30
"091 018 7083",2017-03-02,3,,"C1",1977-12-14
"041 937 6135",2014-07-17,1,,"C2",1951-04-09
"094 034 7289",2015-09-11,1,,"E",1984-10-04
"025 553 9560",2017-12-28,1,,"C2",1994-01-03
"061 154 6852",2018-10-04,1,,"E",1973-10-19
"062 599 3445",2013-10-20,3,,"C2",1967-07-25
"01 944 1843",2014-01-07,3,,"D",1980-07-12
"062 306 7788",2018-10-29,3,,"C1",1981-05-23
"0404 556 2977",2015-11-27,2,,"C1",1978-09-23
"01 632 7521",2016-02-07,1,,"D",1958-12-02
"01 055 8508",2013-12-07,2,,"C2",1990-04-23
"01 740 9157",2017-05-22,3,,"C2",1994-04-04
"01 133 0690",2013-01-04,1,,"D",1970-07-23
"021 064 7028",2014-11-14,3,,"B",1951-11-18
"01 048 6302",2012-08-26,1,,"C1",1992-09-06
"01 295 4270",2012-03-29,1,,"C1",1991-03-19
"01 546 4559",2013-09-08,3,,"A",1963-01-21
"057 312 5244",2012-12-07,2,,"C1",1983-02-10
"01 335 3278",2013-05-11,1,,"C1",1982-05-04
"029 597 6982",2013-06-08,1,,"C2",1982-06-11
"01 909 1343",2018-01-11,3,2018-07-01,"C2",1968-04-29
"042 789 4037",2016-05-14,3,,"C1",1971-01-20
"01 185 5721",2017-01-11,1,2018-07-01,"C1",1990-09-08
"051 993 0894",2014-11-11,3,,"B",1975-04-27
"022 774 2491",2017-08-01,2,,"B",1990-06-09
"01 027 2417",2016-03-30,1,,"C1",1986-09-09
"0505 535 4665",2012-07-09,2,,"C1",1967-03-02
"098 990 8325",2013-05-07,2,,"D",1950-08-31
"01 101 3881",2013-04-19,1,,"A",1979-06-07
"01 878 1823",2012-02-03,1,,"B",1977-03-07
"029 929 9209",2014-07-27,1,,"C2",1972-04-18
"01 215 9279",2012-04-17,1,,"C2",1968-06-27
"01 592 1899",2016-06-11,3,,"C1",1993-12-26
"057 667 6528",2013-08-07,2,,"C1",1983-01-08
"01 138 2895",2016-08-20,2,,"E",1964-10-10
"01 945 7854",2018-09-22,3,,"C1",1980-12-16
"01 353 1071",2017-08-30,1,,"C1",1997-07-08
"01 387 6610",2012-03-11,1,,"B",1989-06-19
"01 705 1034",2016-11-26,1,,"C1",1983-08-09
"099 876 0565",2014-08-29,2,,"E",1954-02-07
"052 892 5614",2015-11-19,2,,"B",1973-04-05
"01 612 3210",2017-12-11,2,,"B",1955-04-25
"042 520 7773",2013-10-14,3,,"C1",1970-11-22
"056 508 3210",2018-03-14,1,,"C1",1998-02-20
"01 162 0101",2017-09-04,3,,"D",1966-12-20
"0402 177 8626",2016-04-07,2,,"B",1985-08-31
"01 383 9556",2018-03-04,2,,"B",1997-06-15
"0402 684 9043",2016-01-10,2,,"C1",1950-06-24
"071 519 9784",2016-10-30,2,,"C2",1996-08-31
"01 838 4320",2012-05-27,3,,"C2",1967-08-15
"01 786 3945",2018-08-20,3,,"C2",1955-05-01
"056 557 7919",2012-04-09,3,,"B",1970-12-11
"0504 337 2402",2017-01-17,3,,"C2",1976-09-17
"01 132 0551",2012-10-31,2,,"C2",1995-07-30
"063 968 7707",2013-07-19,2,,"C2",1965-09-03
"01 426 8735",2015-08-27,2,,"C2",1966-02-28
"048 493 4407",2013-05-12,3,,"B",1989-09-21
"099 725 9338",2018-06-27,3,,"C1",1981-12-11
"061 934 1323",2015-03-30,3,,"D",1995-01-07
"01 532 9691",2016-10-12,1,,"B",1966-07-07
"059 288 1184",2016-08-30,3,,"B",1956-07-19
"01 697 6453",2018-10-28,1,,"C1",1983-01-28
"071 570 8510",2012-10-09,3,2018-07-01,"B",1952-11-07
"098 818 4949",2013-01-31,2,,"C2",1958-02-07
"01 544 8639",2012-11-10,2,,"D",1953-10-25
"053 005 7524",2017-08-02,2,,"D",1989-03-25
"01 445 4246",2017-11-30,3,,"B",1957-01-02
"01 627 3864",2016-11-11,3,,"C1",1995-12-01
"049 066 6554",2012-12-07,3,,"C1",1973-07-13
"057 432 2667",2012-07-24,1,,"C1",1972-10-16
"01 700 7464",2014-02-01,3,,"B",1986-12-12
"0404 880 8218",2017-07-04,1,,"C2",1988-03-18
"074 433 4318",2016-08-28,1,,"C2",1997-07-29
"01 982 5655",2012-03-04,3,,"C1",1975-12-20
"01 179 8499",2016-05-18,2,,"C1",1968-06-29
"01 951 4358",2012-08-03,2,,"C1",1955-11-12
"01 879 0191",2012-02-11,2,,"B",1999-05-01
"01 758 3212",2017-11-28,2,,"E",1963-08-03
"074 406 2152",2014-04-17,1,,"C1",1975-11-18
"01 319 7945",2013-08-17,3,,"C1",1986-12-16
"01 871 0345",2014-12-21,1,,"E",1977-09-23
"01 877 6150",2014-10-21,1,,"C2",1975-04-07
"053 188 9654",2012-10-20,2,2018-07-01,"B",1973-09-17
"069 764 4298",2014-05-06,3,,"C1",1972-03-20
"098 918 7478",2018-05-19,2,,"C2",1960-07-10
"01 243 0409",2015-11-09,3,,"E",1979-01-18
"01 003 8733",2017-11-08,2,,"E",1957-08-17
"01 034 4856",2016-05-31,3,,"B",1963-06-14
"01 506 5582",2014-06-18,1,,"C1",1983-01-07
"01 106 5736",2018-09-10,3,,"B",1990-01-31
"051 649 2301",2018-03-19,2,,"A",1988-11-01
"01 151 6803",2017-04-23,3,,"E",1990-01-20
"01 270 0498",2012-01-24,2,,"B",1995-02-01
"01 056 9254",2013-07-04,1,,"D",1991-11-01
"098 960 2330",2018-06-13,2,,"B",1957-10-12
"01 802 8216",2018-05-19,1,,"D",1979-12-21
"056 912 6424",2018-02-16,1,,"C1",1952-05-19
"01 933 5776",2015-08-04,1,2018-07-01,"B",1981-11-28
"0402 253 5683",2017-02-28,1,,"D",1997-10-07
"052 805 1229",2013-05-14,1,,"D",1959-06-06
"01 237 6653",2016-08-31,3,,"E",1955-06-09
"059 202 8635",2016-01-14,3,,"D",1989-05-10
"0402 666 6543",2015-05-02,2,,"B",1995-07-26
"01 008 4655",2014-04-08,2,,"D",1973-09-30
"01 095 8173",2014-06-01,2,,"B",1973-02-27
"01 062 8216",2016-05-17,1,,"E",1974-11-27
"01 647 3060",2018-05-31,1,,"B",1953-02-18
"01 475 1923",2018-09-14,2,2018-07-01,"C1",1982-07-04
"026 827 5190",2012-04-04,2,,"D",1952-09-23
"0404 618 6798",2018-10-18,2,,"B",1979-12-17
"051 793 8402",2018-06-22,3,,"B",1995-09-19
"0402 124 2879",2014-03-08,2,,"C1",1984-02-18
"057 026 1001",2017-08-10,1,,"B",1996-08-25
"090 457 3561",2018-01-25,1,,"D",1963-06-02
"01 184 5460",2013-11-07,1,,"C2",1960-11-21
"01 733 3697",2014-06-26,1,2018-07-01,"B",1952-06-04
"01 813 0529",2016-07-26,2,,"C1",1983-08-07
"01 530 6770",2015-04-25,1,2018-07-01,"D",1984-07-23
"045 015 5475",2012-03-21,3,,"C2",1977-08-28
"022 352 4753",2012-11-19,2,,"C1",1999-03-30
"01 205 1940",2012-10-13,2,,"D",1974-03-26
"01 636 2282",2012-05-18,1,,"A",1967-10-13
"027 045 5868",2017-11-26,2,,"C1",1966-12-15
"069 489 7840",2014-03-25,3,2018-07-01,"B",1959-11-06
"01 936 4881",2016-01-01,2,,"E",1965-08-15
"063 585 6741",2013-01-29,3,,"C1",1950-06-17
"01 951 3685",2017-08-22,2,,"B",1988-01-07
"021 651 5327",2013-10-13,3,,"B",1970-06-21
"062 234 3367",2014-02-17,2,2018-07-01,"C1",1975-09-08
"01 182 3241",2017-10-12,2,,"C1",1978-07-12
"026 903 7881",2017-11-02,1,2018-07-01,"C1",1988-08-28
"01 575 3539",2014-01-31,1,,"B",1971-03-27
"01 296 6041",2012-08-10,3,,"A",1996-11-12
"01 298 4464",2016-02-21,1,,"D",1964-09-25
"091 774 7130",2016-11-19,1,,"C1",1951-05-12
"01 512 4072",2012-03-17,1,,"B",1960-06-01
"059 538 1722",2015-04-23,3,,"C1",1950-05-06
"026 924 6750",2012-04-08,1,2018-07-01,"D",1996-08-12
"01 013 0046",2013-01-30,1,,"B",1990-04-29
"01 303 4022",2015-12-05,2,,"D",1980-09-24
"065 857 3983",2015-06-06,2,,"C2",1977-01-31
"01 428 8481",2015-12-26,2,,"C1",1960-10-01
"01 192 7726",2012-02-24,1,,"D",1967-08-29
"091 086 4887",2014-02-09,1,,"B",1977-11-14
"01 065 4944",2012-06-13,3,2018-07-01,"C2",1969-08-19
"01 744 0836",2016-07-26,3,,"E",1976-11-06
"043 155 3267",2014-10-25,3,,"C1",1965-08-23
"01 106 5150",2016-02-02,3,,"C2",1988-12-21
"064 123 7362",2012-07-20,2,,"C1",1976-05-15
"059 488 6992",2012-10-14,1,2018-07-01,"D",1956-02-12
"091 715 7229",2018-02-03,3,,"B",1995-06-20
"061 741 7959",2015-11-30,2,,"C1",1962-12-23
"049 699 8726",2017-12-08,2,,"D",1979-08-17
"01 832 1198",2018-07-25,1,,"C1",1971-06-08
"01 302 7606",2013-10-18,2,,"C1",1990-08-09
"048 408 6399",2017-10-28,3,,"C2",1985-03-12
"01 543 0205",2014-10-31,3,2018-07-01,"E",1966-11-13
"041 512 5893",2012-08-22,1,,"B",1970-11-09
"093 540 2233",2015-01-31,2,,"C2",1986-06-18
"021 397 2943",2017-05-08,3,,"D",1959-05-07
"046 799 9297",2016-07-22,2,,"D",1960-09-29
"0504 332 8206",2017-03-21,3,,"C1",1961-03-07
"01 664 3363",2014-10-25,2,,"D",1997-08-16
"01 146 2344",2016-11-16,3,,"C1",1979-06-02
"01 287 7504",2018-03-13,3,,"B",1957-11-20
"01 766 5009",2014-10-20,3,,"B",1981-02-08
"066 434 2279",2012-02-13,2,,"D",1993-01-24
"063 998 8019",2017-01-05,3,,"C1",1958-01-16
"01 702 3742",2012-02-20,2,,"D",1956-11-19
"071 160 7534",2017-08-13,1,,"C2",1951-10-29
"067 162 3404",2014-04-25,1,,"C1",1997-01-28
"01 083 1600",2014-02-15,1,,"C2",1994-02-01
"064 890 8956",2017-07-14,1,,"C1",1965-10-07
"01 093 1788",2017-09-09,3,,"E",1994-04-22
"01 878 9130",2018-04-28,3,,"A",1961-10-01
"062 726 5886",2013-06-27,1,,"C2",1971-11-07
"044 389 8631",2013-02-02,2,,"C1",1993-06-08
"028 084 5816",2017-05-23,2,2018-07-01,"D",1965-11-30
"01 558 4532",2014-04-12,2,2018-07-01,"C1",1981-04-05
"024 173 1641",2014-12-23,2,,"B",1951-09-23
"022 805 1995",2017-03-02,2,,"C1",1996-03-28
"062 963 0749",2017-12-03,1,,"E",1977-01-18
"01 534 2049",2013-11-28,2,2018-07-01,"C1",1951-07-08
"025 724 8610",2018-07-03,1,,"B",1998-06-01
"057 460 1196",2018-10-19,2,,"C1",1952-11-16
"01 290 4551",2012-01-18,1,,"C2",1976-02-08
"01 407 1686",2012-02-20,3,,"E",1973-11-08
"01 491 8057",2014-01-07,3,,"D",1999-08-09
"01 425 3995",2016-04-21,3,,"C2",1992-08-09
"01 995 8385",2017-06-17,3,,"C2",1970-01-18
"01 720 8161",2012-06-11,3,,"E",1955-04-27
"01 414 2456",2013-11-27,3,,"D",1998-06-30
"01 114 5802",2016-07-30,3,,"B",1953-03-21
"053 082 9147",2017-05-10,3,,"C1",1967-07-16
"028 361 3878",2013-12-22,2,,"B",1975-12-24
"01 306 2286",2013-02-12,2,,"C1",1987-09-28
"01 435 0540",2013-05-02,1,,"C1",1983-03-04
"01 101 1798",2015-07-09,1,,"C2",1955-09-13
"01 740 0035",2017-04-04,2,,"B",1998-01-25
"048 408 6138",2014-12-18,2,,"D",1956-01-03
"01 655 9561",2013-05-26,3,,"A",1952-12-23
"01 853 6560",2015-05-20,1,,"C2",1956-06-29
"0505 814 1073",2015-12-25,1,,"C1",1967-02-17
"022 182 4427",2017-10-23,2,2018-07-01,"D",1952-04-24
"01 380 7080",2012-01-23,1,,"C1",1989-07-04
"063 560 1751",2014-05-24,1,2018-07-01,"C2",1962-07-31
"01 920 2405",2016-02-16,1,,"C1",1994-05-09
"01 357 9497",2014-11-28,3,,"C2",1958-09-30
"01 314 2470",2014-11-15,3,,"D",1988-08-31
"051 438 4418",2015-08-02,2,,"E",1972-05-07
"01 848 2403",2018-02-11,2,2018-07-01,"D",1985-02-23
"062 795 6009",2016-03-26,1,,"E",1950-12-07
"01 698 7870",2012-02-12,3,,"C2",1959-07-10
"093 576 6444",2013-10-20,2,,"C1",1964-11-08
"01 980 1031",2016-01-27,2,,"D",1968-06-13
"01 024 0423",2012-11-05,1,,"C1",1975-10-04
"067 803 5411",2015-05-24,3,,"B",1978-02-11
"01 353 8791",2014-04-15,3,,"C1",1976-03-03
"01 633 9186",2015-01-09,1,,"C2",1954-04-26
"01 963 8334",2017-05-24,2,2018-07-01,"C1",1975-03-20
"099 824 5224",2015-02-13,2,,"C2",1954-10-04
"01 657 7064",2012-09-18,2,2018-07-01,"D",1982-04-20
"0404 476 1318",2018-08-08,3,,"E",1968-12-09
"01 172 3067",2012-05-19,3,,"D",1965-03-09
"041 402 5363",2018-08-20,2,,"C1",1983-09-11
"091 133 8411",2018-10-24,3,,"B",1994-02-02
"074 159 1014",2017-08-14,2,2018-07-01,"A",1999-06-08
"01 190 7462",2015-08-29,3,,"C2",1950-02-03
"01 986 6923",2015-08-19,2,,"B",1980-07-10
"01 798 4424",2016-04-19,2,,"B",1995-03-02
"069 232 8942",2013-03-17,2,,"E",1988-03-15
"01 632 8953",2013-12-03,3,,"E",1977-08-23
"022 221 6833",2017-10-27,1,2018-07-01,"B",1955-02-25
"01 010 5585",2017-11-16,1,,"C1",1988-10-08
"0402 904 0962",2015-08-06,1,,"C1",1969-07-27
"01 542 5177",2015-03-09,2,,"A",1992-12-13
"01 180 8072",2015-04-21,3,2018-07-01,"E",1998-12-01
"01 145 6270",2014-07-12,3,,"C1",1988-10-07
"01 704 7758",2017-11-01,3,2018-07-01,"B",1995-08-14
"01 571 0724",2013-01-02,2,,"C1",1961-02-15
"01 321 3967",2017-02-19,1,,"C1",1980-10-10
"022 745 2921",2017-09-27,1,,"C1",1962-03-01
"062 061 0420",2017-03-12,2,,"C2",1992-05-26
"056 656 6201",2014-03-23,1,,"D",1993-07-20
"01 888 0240",2013-04-09,1,,"A",1992-11-23
"01 124 0370",2016-06-01,1,,"D",1975-07-19
"01 173 6971",2018-05-03,1,,"C2",1979-04-19
"01 259 2174",2016-02-03,3,,"B",1962-12-18
"065 527 3340",2016-04-13,2,,"C2",1980-08-24
"024 730 6439",2013-09-13,3,,"C1",1998-07-05
"01 952 5624",2016-08-21,2,,"B",1956-04-16
"069 354 6717",2017-09-25,3,,"C1",1964-04-21
"024 674 4091",2014-09-03,2,,"B",1989-10-19
"01 741 5202",2014-11-12,3,,"D",1951-12-11
"01 396 1200",2018-09-25,3,,"C2",1955-11-29
"045 876 2909",2014-08-15,3,,"B",1981-11-12
"099 394 1427",2017-07-05,2,2018-07-01,"E",1972-08-19
"0504 669 5244",2017-12-04,2,,"C2",1986-07-16
"048 077 2746",2018-09-15,2,,"B",1971-06-21
"063 466 8181",2012-02-19,2,,"D",1955-11-20
"01 271 9320",2017-08-10,3,,"C1",1965-08-30
"071 775 9257",2013-10-26,3,,"C1",1988-06-22
"047 480 8151",2015-12-30,2,,"B",1950-05-10
"046 683 0112",2015-04-24,3,,"B",1998-12-17
"0504 294 6620",2018-05-10,1,,"B",1961-01-28
"01 486 1792",2018-09-14,1,,"B",1994-11-20
"01 310 2926",2014-05-13,1,,"E",1955-12-31
"096 688 8718",2013-09-17,2,,"D",1987-12-25
"028 037 4158",2018-02-12,2,,"B",1981-07-05
"01 982 6537",2013-03-29,1,,"A",1961-11-21
"01 532 5089",2013-08-05,3,,"C1",1975-03-17
"01 798 7696",2017-04-22,1,,"C1",1991-02-07
"0504 404 7045",2013-11-22,1,,"E",1978-12-18
"048 667 6685",2014-10-18,1,,"D",1960-06-21
"0402 187 7318",2013-07-20,1,,"C2",1968-01-24
"01 885 6414",2015-03-26,3,,"C2",1966-08-25
"0402 762 2875",2016-04-18,1,,"D",1981-12-04
"022 576 3637",2013-02-01,3,,"C1",1972-10-10
"046 061 1866",2016-07-06,2,,"C1",1982-09-06
"047 417 4143",2018-07-13,3,,"B",1952-03-25
"01 649 8078",2015-10-18,2,,"C1",1963-01-30
"01 791 5249",2013-07-07,3,,"E",1975-05-15
"01 522 1086",2014-09-29,3,,"E",1989-07-02
"063 280 5696",2012-11-23,1,,"B",1990-03-08
"056 912 7999",2016-11-17,2,,"B",1979-12-14
"023 306 2417",2014-01-04,1,,"D",1980-03-20
"01 373 8406",2015-07-03,3,,"C2",1988-02-05
"01 024 7402",2014-04-12,1,,"B",1967-08-19
"0402 482 8267",2014-08-24,1,,"C1",1976-10-31
"0404 791 2772",2017-04-19,3,,"D",1976-12-05
"0504 342 8793",2016-06-11,3,,"E",1971-12-15
"095 152 1925",2018-01-09,2,,"B",1958-07-08
"01 011 7733",2012-07-25,1,,"B",1968-01-29
"027 422 8416",2016-12-08,3,,"C1",1996-05-31
"01 533 9392",2014-12-26,1,,"C2",1951-06-28
"01 841 6259",2013-02-04,1,,"C1",1979-05-14
"01 129 4659",2016-07-26,1,2018-07-01,"C2",1963-10-30
"0404 761 4587",2018-02-24,1,,"C2",1987-05-03
"01 627 8929",2013-07-06,1,,"C1",1965-01-16
"047 258 7637",2014-06-26,2,,"B",1950-06-22
"01 310 2839",2012-04-29,1,,"B",1965-06-23
"01 977 1722",2017-11-23,2,,"A",1951-10-12
"069 008 5028",2017-05-21,1,,"C1",1982-04-27
"074 461 8432",2012-06-18,1,,"E",1973-11-20
"01 545 0523",2018-01-05,1,,"D",1998-09-01
"01 220 4061",2017-06-22,2,,"B",1997-03-28
"059 833 8066",2015-04-16,2,,"B",1969-10-31
"021 004 8930",2012-08-06,1,,"A",1964-06-01
"090 756 5554",2013-01-19,1,,"D",1969-08-12
"065 514 0044",2015-08-05,1,,"C1",1961-03-24
"029 995 9835",2014-08-23,3,,"A",1978-03-16
"099 033 2315",2012-04-09,3,2018-07-01,"C2",1979-06-27
"094 642 7182",2013-04-01,2,,"C2",1990-05-29
"01 692 4135",2017-06-14,1,,"B",1958-06-11
"043 307 4906",2015-11-25,2,,"D",1994-05-24
"061 678 8971",2013-07-16,2,,"C1",1968-11-02
"067 819 4364",2017-05-05,1,,"C1",1957-11-25
"066 215 9507",2014-06-11,1,2018-07-01,"D",1979-09-11
"01 210 4910",2018-10-06,2,,"B",1988-09-12
"047 548 8535",2015-07-16,2,,"C2",1954-12-12
"01 475 4665",2015-09-07,3,,"C2",1967-06-03
"041 528 0529",2013-09-16,3,,"C1",1980-02-03
"01 933 9305",2014-03-17,2,,"C1",1972-03-11
"01 029 6463",2015-05-07,3,,"C1",1998-04-08
"01 749 5447",2015-12-14,3,,"C1",1985-01-21
"01 703 7006",2018-02-07,1,,"C2",1950-04-26
"01 615 1445",2013-01-01,3,,"D",1993-05-18
"099 913 3221",2014-08-08,1,,"C1",1988-05-15
"095 258 7611",2018-06-03,3,2018-07-01,"B",1974-06-21
"01 351 5990",2018-10-01,2,,"C2",1989-08-24
"01 839 9024",2013-07-14,3,,"C1",1986-11-07
"074 670 4339",2012-08-27,2,,"A",1955-11-09
"029 507 5949",2017-02-11,3,2018-07-01,"D",1990-12-21
"01 684 4077",2012-05-07,2,,"B",1952-07-13
"01 634 6576",2017-12-23,2,,"C1",1983-09-02
"095 507 1869",2013-05-17,3,,"C2",1952-10-11
"057 740 7811",2012-11-13,1,,"D",1979-06-09
"046 082 7677",2015-05-19,1,,"C2",1958-11-06
"01 643 4648",2018-03-29,3,,"C2",1954-10-06
"01 394 1894",2014-10-04,3,,"C1",1960-12-07
"067 738 4686",2017-04-08,2,2018-07-01,"B",1969-02-19
"047 617 0705",2013-02-12,3,,"D",1992-11-04
"062 215 4559",2014-04-06,3,,"C2",1950-12-11
"071 209 9582",2015-03-11,1,,"B",1952-09-19
"01 817 3071",2012-11-04,2,,"E",1971-06-22
"026 046 2379",2014-03-26,2,,"B",1979-06-26
"01 976 6710",2012-06-27,3,,"C2",1990-11-29
"01 210 6001",2017-07-11,2,,"C2",1953-09-10
"01 849 9218",2013-07-19,2,,"B",1982-03-17
"01 572 3263",2013-09-23,2,,"C1",1960-03-02
"094 050 8017",2017-11-11,3,,"C1",1998-09-12
"01 114 2755",2017-06-04,3,,"A",1977-05-20
"052 036 5672",2014-10-01,2,,"A",1986-07-11
"046 929 9732",2017-07-09,3,2018-07-01,"A",1967-02-23
"098 174 0420",2016-08-26,3,,"B",1991-11-02
"0404 062 3406",2014-06-07,1,2018-07-01,"D",1987-07-22
"062 771 0051",2017-01-19,2,,"C1",1953-01-12
"01 268 2718",2013-10-16,1,,"E",1966-04-05
"01 217 2593",2014-05-08,1,,"E",1969-03-13
"099 287 2674",2015-05-12,2,,"E",1974-05-18
"063 108 2851",2013-03-15,2,,"E",1954-05-02
"059 593 7339",2014-08-23,3,,"D",1984-02-19
"029 230 0239",2014-02-24,1,,"C1",1986-05-07
"01 754 3990",2018-05-13,1,,"A",1974-01-20
"053 888 9786",2017-04-13,3,,"C1",1982-07-03
"061 981 8096",2016-02-08,3,,"A",1971-08-09
"01 331 6064",2016-08-09,2,,"D",1992-07-11
"042 949 7333",2014-09-19,3,,"A",1965-04-17
"062 999 9536",2012-07-24,2,,"D",1985-03-03
"01 290 7132",2017-05-15,3,,"C1",1995-02-06
"028 702 2685",2016-07-08,3,,"B",1992-08-03
"01 696 5768",2013-05-21,2,,"C2",1951-08-14
"025 215 0950",2014-08-29,1,,"A",1981-07-19
"041 454 2867",2017-12-02,3,,"C1",1997-03-18
"01 875 9354",2014-07-01,1,,"C1",1963-05-09
"01 919 9868",2015-09-13,1,,"C1",1966-09-12
"053 000 8267",2014-03-08,3,,"C1",1979-04-25
"095 277 1448",2012-07-17,2,,"C1",1958-01-08
